,cspace,hog_channel,orient,pix_per_cell,cell_per_block,t_featureExtract,t_fitScaler,t_trainClassifier,t_predictTestData,testAccuracy
0,BGR,ALL,6.0,8.0,2.0,211.736,0.893,36.488,0.02,0.922
1,BGR,ALL,6.0,8.0,4.0,142.837,1.505,62.995,0.025,0.949
2,BGR,ALL,6.0,16.0,2.0,87.505,0.091,11.291,0.003,0.948
3,BGR,ALL,6.0,16.0,4.0,67.841,0.042,7.541,0.001,0.948
4,BGR,ALL,9.0,8.0,2.0,183.934,1.109,49.625,0.019,0.925
5,BGR,ALL,9.0,8.0,4.0,132.981,2.14,87.869,0.034,0.95
6,BGR,ALL,9.0,16.0,2.0,90.163,0.143,12.87,0.004,0.958
7,BGR,ALL,9.0,16.0,4.0,70.95,0.064,6.967,0.002,0.955
8,BGR,ALL,12.0,8.0,2.0,186.294,1.585,55.114,0.024,0.927
9,BGR,ALL,12.0,8.0,4.0,136.853,2.882,102.579,0.044,0.947
10,BGR,ALL,12.0,16.0,2.0,94.375,0.312,11.648,0.005,0.955
11,BGR,ALL,12.0,16.0,4.0,74.081,0.084,7.289,0.002,0.957
12,BGR,ALL,6.0,8.0,2.0,178.389,0.731,38.059,0.016,0.927
13,BGR,ALL,6.0,8.0,4.0,126.429,1.489,56.791,0.024,0.954
14,BGR,ALL,6.0,16.0,2.0,87.224,0.094,11.767,0.002,0.954
15,BGR,ALL,6.0,16.0,4.0,67.846,0.044,7.867,0.001,0.937
16,BGR,ALL,9.0,8.0,2.0,183.433,1.088,48.495,0.018,0.925
17,BGR,ALL,9.0,8.0,4.0,132.826,2.193,80.042,0.036,0.951
18,BGR,ALL,9.0,16.0,2.0,90.602,0.183,13.034,0.004,0.953
19,BGR,ALL,9.0,16.0,4.0,71.316,0.064,6.825,0.002,0.96
20,BGR,ALL,12.0,8.0,2.0,187.12,1.457,57.043,0.023,0.932
21,BGR,ALL,12.0,8.0,4.0,136.227,2.908,109.866,0.049,0.951
22,BGR,ALL,12.0,16.0,2.0,93.615,0.279,11.5,0.006,0.959
23,BGR,ALL,12.0,16.0,4.0,74.141,0.087,7.675,0.002,0.963
24,BGR,ALL,6.0,8.0,2.0,178.832,0.761,38.413,0.015,0.927
25,BGR,ALL,6.0,8.0,4.0,126.63,1.517,61.539,0.024,0.954
26,BGR,ALL,6.0,16.0,2.0,87.106,0.096,11.944,0.003,0.952
27,BGR,ALL,6.0,16.0,4.0,67.581,0.044,7.487,0.001,0.942
28,BGR,ALL,9.0,8.0,2.0,182.309,1.148,49.159,0.018,0.924
29,BGR,ALL,9.0,8.0,4.0,131.996,2.164,88.45,0.034,0.947
30,BGR,ALL,9.0,16.0,2.0,90.621,0.179,13.291,0.004,0.955
31,BGR,ALL,9.0,16.0,4.0,71.047,0.064,7.165,0.002,0.956
32,BGR,ALL,12.0,8.0,2.0,186.866,1.498,55.694,0.023,0.925
33,BGR,ALL,12.0,8.0,4.0,136.404,2.899,105.986,0.044,0.95
34,BGR,ALL,12.0,16.0,2.0,93.572,0.274,11.752,0.006,0.955
35,BGR,ALL,12.0,16.0,4.0,74.041,0.087,7.474,0.002,0.958
36,BGR,ALL,6.0,8.0,2.0,178.202,0.739,36.469,0.015,0.93
37,BGR,ALL,6.0,8.0,4.0,126.309,1.52,61.838,0.024,0.945
38,BGR,ALL,6.0,16.0,2.0,86.941,0.095,12.182,0.003,0.948
39,BGR,ALL,6.0,16.0,4.0,67.621,0.044,7.425,0.001,0.939
40,BGR,ALL,9.0,8.0,2.0,182.548,1.082,47.801,0.018,0.928
41,BGR,ALL,9.0,8.0,4.0,132.093,2.142,85.127,0.034,0.948
42,BGR,ALL,9.0,16.0,2.0,90.367,0.179,12.42,0.005,0.951
43,BGR,ALL,9.0,16.0,4.0,70.973,0.056,7.472,0.002,0.954
44,BGR,ALL,12.0,8.0,2.0,186.027,1.49,55.735,0.023,0.927
45,BGR,ALL,12.0,8.0,4.0,136.29,2.934,110.115,0.045,0.946
46,BGR,ALL,12.0,16.0,2.0,94.096,0.268,12.223,0.006,0.96
47,BGR,ALL,12.0,16.0,4.0,74.436,0.088,7.312,0.002,0.957
48,BGR,ALL,6.0,8.0,2.0,179.825,0.772,36.453,0.015,0.926
49,BGR,ALL,6.0,8.0,4.0,126.694,1.484,62.343,0.024,0.952
50,BGR,ALL,6.0,16.0,2.0,87.046,0.121,11.889,0.004,0.952
51,BGR,ALL,6.0,16.0,4.0,67.602,0.044,7.764,0.001,0.944
52,BGR,ALL,9.0,8.0,2.0,183.082,1.161,48.298,0.017,0.928
53,BGR,ALL,9.0,8.0,4.0,132.522,2.194,87.467,0.036,0.947
54,BGR,ALL,9.0,16.0,2.0,90.853,0.181,12.62,0.004,0.953
55,BGR,ALL,9.0,16.0,4.0,71.257,0.066,6.731,0.002,0.952
56,BGR,ALL,12.0,8.0,2.0,188.482,1.511,59.107,0.024,0.932
57,BGR,ALL,12.0,8.0,4.0,139.018,2.906,107.902,0.047,0.95
58,BGR,ALL,12.0,16.0,2.0,93.52,0.268,11.889,0.006,0.957
59,BGR,ALL,12.0,16.0,4.0,74.054,0.088,7.909,0.002,0.958
60,BGR,ALL,6.0,8.0,2.0,178.384,0.741,36.52,0.015,0.932
61,BGR,ALL,6.0,8.0,4.0,126.131,1.542,62.997,0.024,0.955
62,BGR,ALL,6.0,16.0,2.0,87.07,0.095,12.715,0.003,0.952
63,BGR,ALL,6.0,16.0,4.0,67.696,0.045,7.302,0.001,0.942
64,BGR,ALL,9.0,8.0,2.0,182.679,1.106,49.031,0.018,0.925
65,BGR,ALL,9.0,8.0,4.0,132.324,2.213,86.709,0.034,0.95
66,BGR,ALL,9.0,16.0,2.0,90.461,0.183,13.492,0.004,0.956
67,BGR,ALL,9.0,16.0,4.0,70.931,0.063,6.92,0.002,0.96
68,BGR,ALL,12.0,8.0,2.0,186.305,1.472,56.491,0.023,0.928
69,BGR,ALL,12.0,8.0,4.0,137.923,2.947,109.033,0.05,0.949
70,BGR,ALL,12.0,16.0,2.0,94.567,0.288,12.247,0.006,0.961
71,BGR,ALL,12.0,16.0,4.0,74.582,0.088,7.83,0.002,0.963
