,cspace,hog_channel,orient,pix_per_cell,cell_per_block,t_featureExtract,t_fitScaler,t_trainClassifier,t_predictTestData,testAccuracy
0,HSV,ALL,6,8,2,200.74,0.776,19.237,0.016,0.961
1,HSV,ALL,6,8,4,147.081,1.502,37.548,0.027,0.963
2,HSV,ALL,6,16,2,90.777,0.095,3.842,0.002,0.978
3,HSV,ALL,6,16,4,70.853,0.038,3.554,0.001,0.968
4,HSV,ALL,9,8,2,188.588,1.132,32.666,0.018,0.954
5,HSV,ALL,9,8,4,137.389,2.208,66.099,0.037,0.956
6,HSV,ALL,9,16,2,92.927,0.125,4.477,0.004,0.975
7,HSV,ALL,9,16,4,73.382,0.062,3.07,0.002,0.972
8,HSV,ALL,12,8,2,189.446,1.504,43.205,0.024,0.954
9,HSV,ALL,12,8,4,139.454,2.932,88.499,0.046,0.952
10,HSV,ALL,12,16,2,98.691,0.292,5.896,0.006,0.972
11,HSV,ALL,12,16,4,77.718,0.085,2.704,0.003,0.964
12,LUV,ALL,6,8,2,186.914,0.79,15.466,0.014,0.966
13,LUV,ALL,6,8,4,132.707,1.569,31.798,0.023,0.971
14,LUV,ALL,6,16,2,92.496,0.091,3.201,0.002,0.974
15,LUV,ALL,6,16,4,71.813,0.04,1.863,0.001,0.969
16,LUV,ALL,9,8,2,190.486,1.1,24.156,0.017,0.969
17,LUV,ALL,9,8,4,139.155,2.21,46.844,0.035,0.976
18,LUV,ALL,9,16,2,95.272,0.174,3.149,0.004,0.972
19,LUV,ALL,9,16,4,75.418,0.065,2.244,0.002,0.98
20,LUV,ALL,12,8,2,196.002,1.501,30.737,0.024,0.97
21,LUV,ALL,12,8,4,140.991,2.926,51.457,0.05,0.975
22,LUV,ALL,12,16,2,97.796,0.273,3.482,0.006,0.976
23,LUV,ALL,12,16,4,78.073,0.08,1.364,0.002,0.974
24,HLS,ALL,6,8,2,182.02,0.773,19.075,0.012,0.965
25,HLS,ALL,6,8,4,129.221,1.544,37.059,0.024,0.962
26,HLS,ALL,6,16,2,91.036,0.08,4.102,0.003,0.969
27,HLS,ALL,6,16,4,70.804,0.039,4.192,0.001,0.963
28,HLS,ALL,9,8,2,188.332,1.133,32.08,0.018,0.956
29,HLS,ALL,9,8,4,136.007,2.197,64.982,0.036,0.952
30,HLS,ALL,9,16,2,92.942,0.161,5.017,0.004,0.972
31,HLS,ALL,9,16,4,73.442,0.064,5.044,0.002,0.97
32,HLS,ALL,12,8,2,189.43,1.487,41.534,0.023,0.956
33,HLS,ALL,12,8,4,141.396,2.942,88.013,0.045,0.957
34,HLS,ALL,12,16,2,96.417,0.279,5.839,0.006,0.974
35,HLS,ALL,12,16,4,76.721,0.078,2.963,0.002,0.968
36,YUV,ALL,6,8,2,181.301,0.761,14.74,0.012,0.967
37,YUV,ALL,6,8,4,128.327,1.518,28.498,0.023,0.97
38,YUV,ALL,6,16,2,88.641,0.08,2.803,0.002,0.979
39,YUV,ALL,6,16,4,68.971,0.039,2.159,0.001,0.977
40,YUV,ALL,9,8,2,185.531,1.123,23.621,0.018,0.963
41,YUV,ALL,9,8,4,134.091,2.211,48.692,0.036,0.971
42,YUV,ALL,9,16,2,92.693,0.161,3.72,0.004,0.982
43,YUV,ALL,9,16,4,72.491,0.064,2.32,0.002,0.975
44,YUV,ALL,12,8,2,189.628,1.513,30.439,0.023,0.974
45,YUV,ALL,12,8,4,138.493,2.938,63.577,0.046,0.971
46,YUV,ALL,12,16,2,95.548,0.273,3.219,0.005,0.976
47,YUV,ALL,12,16,4,75.814,0.079,1.332,0.002,0.969
48,YCrCb,ALL,6,8,2,181.428,0.757,14.039,0.013,0.965
49,YCrCb,ALL,6,8,4,128.512,1.553,28.692,0.023,0.975
50,YCrCb,ALL,6,16,2,88.873,0.081,2.437,0.003,0.981
51,YCrCb,ALL,6,16,4,69.093,0.044,1.597,0.001,0.979
52,YCrCb,ALL,9,8,2,186.077,1.155,22.781,0.018,0.963
53,YCrCb,ALL,9,8,4,133.975,2.196,47.698,0.035,0.974
54,YCrCb,ALL,9,16,2,92.106,0.161,2.918,0.004,0.979
55,YCrCb,ALL,9,16,4,72.336,0.064,1.589,0.002,0.977
56,YCrCb,ALL,12,8,2,189.806,1.501,31.036,0.023,0.975
57,YCrCb,ALL,12,8,4,139.127,2.922,62.462,0.046,0.976
58,YCrCb,ALL,12,16,2,95.161,0.278,3.352,0.006,0.981
59,YCrCb,ALL,12,16,4,75.482,0.08,1.238,0.002,0.981
60,BGR,ALL,6,8,2,211.736,0.893,36.488,0.02,0.922
61,BGR,ALL,6,8,4,142.837,1.505,62.995,0.025,0.949
62,BGR,ALL,6,16,2,87.505,0.091,11.291,0.003,0.948
63,BGR,ALL,6,16,4,67.841,0.042,7.541,0.001,0.948
64,BGR,ALL,9,8,2,183.934,1.109,49.625,0.019,0.925
65,BGR,ALL,9,8,4,132.981,2.14,87.869,0.034,0.95
66,BGR,ALL,9,16,2,90.163,0.143,12.87,0.004,0.958
67,BGR,ALL,9,16,4,70.95,0.064,6.967,0.002,0.955
68,BGR,ALL,12,8,2,186.294,1.585,55.114,0.024,0.927
69,BGR,ALL,12,8,4,136.853,2.882,102.579,0.044,0.947
70,BGR,ALL,12,16,2,94.375,0.312,11.648,0.005,0.955
71,BGR,ALL,12,16,4,74.081,0.084,7.289,0.002,0.957
